customer_city,customer_state,total_orders,unique_customers,order_category
carmo da mata,MG,6,6,Low
carmo de minas,MG,3,3,Low
carmo do cajuru,MG,10,10,Low
carmo do paranaiba,MG,16,16,Low
carmo do rio claro,MG,9,8,Low
carmo do rio verde,GO,2,2,Low
carmolandia,TO,1,1,Low
carmopolis,SE,2,2,Low
carmopolis de minas,MG,5,5,Low
carnaiba do sertao,BA,1,1,Low
carnauba dos dantas,RN,1,1,Low
carnaubais,RN,2,2,Low
carnaubal,CE,2,2,Low
carneirinho,MG,3,3,Low
carolina,MA,2,2,Low
carpina,PE,10,10,Low
carrancas,MG,3,3,Low
caruaru,PE,63,63,Low
carutapera,MA,2,2,Low
carvalhopolis,MG,3,3,Low
casa branca,SP,13,13,Low
casa nova,BA,6,5,Low
casca,RS,7,7,Low
cascalho rico,MG,1,1,Low
cascavel,CE,5,5,Low
cascavel,PR,146,144,Low
caseiros,RS,1,1,Low
casimiro de abreu,RJ,20,19,Low
cassia,MG,6,6,Low
cassia dos coqueiros,SP,1,1,Low
cassilandia,MS,5,5,Low
castanhal,PA,21,21,Low
castanheira,MT,3,3,Low
castanheiras,RO,1,1,Low
castelandia,GO,5,4,Low
castelo,ES,18,17,Low
castelo do piaui,PI,2,2,Low
castilho,SP,10,10,Low
castro,PR,22,22,Low
castro alves,BA,2,2,Low
cataguases,MG,32,31,Low
catalao,GO,33,30,Low
catanduva,SP,72,68,Low
catanduvas,SC,6,6,Low
catarina,CE,3,3,Low
catas altas,MG,5,5,Low
catende,PE,7,7,Low
catigua,SP,6,6,Low
catole do rocha,PB,6,6,Low
catu,BA,10,10,Low
catu de abrantes,BA,2,2,Low
catuipe,RS,4,4,Low
caturama,BA,1,1,Low
caucaia,CE,35,35,Low
cavalcante,GO,2,2,Low
caxambu,MG,16,16,Low
caxambu do sul,SC,1,1,Low
caxias,MA,16,16,Low
caxias do sul,RS,220,210,Low
caxingo,PI,1,1,Low
ceara-mirim,RN,2,2,Low
cedral,MA,3,3,Low
cedral,SP,6,6,Low
cedro,CE,1,1,Low
cedro de sao joao,SE,3,3,Low
cedro do abaete,MG,1,1,Low
ceilandia,DF,1,1,Low
celina,ES,2,2,Low
celso ramos,SC,2,2,Low
centenario,TO,1,1,Low
centenario do sul,PR,4,4,Low
central,BA,1,1,Low
central de santa helena,MG,1,1,Low
centralina,MG,1,1,Low
centro novo do maranhao,MA,1,1,Low
cerejeiras,RO,1,1,Low
ceres,GO,7,7,Low
cerqueira cesar,SP,18,17,Low
cerquilho,SP,29,27,Low
cerrito,RS,1,1,Low
cerro azul,PR,4,3,Low
cerro grande,RS,1,1,Low
cerro grande do sul,RS,2,2,Low
cerro largo,RS,7,7,Low
cerro negro,SC,1,1,Low
cesario lange,SP,13,12,Low
ceu azul,PR,7,7,Low
cezarina,GO,1,1,Low
cha de alegria,PE,1,1,Low
cha grande,PE,1,1,Low
chacara,MG,2,2,Low
chale,MG,2,2,Low
chapada,RS,4,4,Low
chapada do norte,MG,2,2,Low
chapada dos guimaraes,MT,4,4,Low
chapada gaucha,MG,4,4,Low
chapadao do ceu,GO,8,7,Low
chapadao do lageado,SC,1,1,Low
chapadao do sul,MS,14,14,Low
chapadinha,MA,3,3,Low
chapeco,SC,101,97,Low
charqueada,SP,10,10,Low
charqueadas,RS,17,16,Low
charrua,RS,1,1,Low
chaval,CE,1,1,Low
chavantes,SP,12,12,Low
chaveslandia,MG,2,2,Low
chiapetta,RS,1,1,Low
chopinzinho,PR,4,4,Low
chorozinho,CE,1,1,Low
chorrocho,BA,1,1,Low
chui,RS,5,4,Low
cianorte,PR,39,37,Low
cicero dantas,BA,9,8,Low
cidade gaucha,PR,5,5,Low
cidade ocidental,GO,8,8,Low
cidelandia,MA,1,1,Low
cidreira,RS,5,5,Low
cipo,BA,1,1,Low
cipo-guacu,SP,1,1,Low
ciriaco,RS,1,1,Low
claraval,MG,1,1,Low
claro dos pocoes,MG,1,1,Low
claudia,MT,4,4,Low
claudio,MG,20,18,Low
clementina,SP,4,4,Low
clevelandia,PR,3,3,Low
coaraci,BA,4,4,Low
coari,AM,1,1,Low
cocais,MG,1,1,Low
cocal,PI,7,7,Low
cocal do sul,SC,4,4,Low
cocalinho,MT,4,4,Low
cocalzinho de goias,GO,1,1,Low
cocos,BA,1,1,Low
codo,MA,7,7,Low
coelho neto,MA,3,2,Low
coimbra,MG,1,1,Low
coite do noia,AL,1,1,Low
colatina,ES,63,61,Low
colider,MT,8,8,Low
colina,SP,9,8,Low
colinas,MA,3,3,Low
colinas,RS,1,1,Low
colinas do tocantins,TO,3,3,Low
colmeia,TO,2,2,Low
colniza,MT,3,3,Low
colombia,SP,5,5,Low
colombo,PR,60,57,Low
colonia castrolanda,PR,3,3,Low
colonia jordaozinho,PR,2,2,Low
colonia leopoldina,AL,2,2,Low
colonia vitoria,PR,5,5,Low
colorado,PR,6,6,Low
colorado,RS,3,3,Low
colorado do oeste,RO,3,3,Low
coluna,MG,3,3,Low
combinado,TO,1,1,Low
comendador levy gasparian,RJ,7,7,Low
comercinho,MG,1,1,Low
comodoro,MT,7,6,Low
conceicao,PB,2,2,Low
conceicao da aparecida,MG,5,5,Low
conceicao da barra,ES,3,3,Low
conceicao da feira,BA,2,2,Low
conceicao da ibitipoca,MG,1,1,Low
conceicao das alagoas,MG,3,3,Low
conceicao das pedras,MG,4,4,Low
conceicao de macabu,RJ,12,12,Low
conceicao do almeida,BA,1,1,Low
conceicao do araguaia,PA,7,7,Low
conceicao do caninde,PI,1,1,Low
conceicao do castelo,ES,5,5,Low
conceicao do coite,BA,9,9,Low
conceicao do formoso,MG,1,1,Low
conceicao do jacuipe,BA,3,3,Low
conceicao do mato dentro,MG,12,12,Low
conceicao do para,MG,3,3,Low
conceicao do rio verde,MG,5,5,Low
conceicao do tocantins,TO,3,3,Low
conceicao dos ouros,MG,4,4,Low
conchal,SP,19,18,Low
conchas,SP,8,7,Low
concordia,SC,47,46,Low
concordia do para,PA,3,3,Low
condado,PE,4,4,Low
conde,BA,2,2,Low
condeuba,BA,1,1,Low
condor,RS,4,4,Low
confins,MG,1,1,Low
confresa,MT,7,7,Low
congonhal,MG,4,4,Low
congonhas,MG,30,30,Low
congonhinhas,PR,2,2,Low
conquista,MG,6,5,Low
conquista d'oeste,MT,1,1,Low
conrado,RJ,1,1,Low
conselheiro lafaiete,MG,81,80,Low
conselheiro mairinck,PR,1,1,Low
conselheiro pena,MG,15,14,Low
conservatoria,RJ,4,4,Low
constantina,RS,1,1,Low
contagem,MG,415,406,Low
contenda,PR,1,1,Low
coqueiro baixo,RS,2,2,Low
coqueiros do sul,RS,1,1,Low
coracao de jesus,MG,3,3,Low
coracao de maria,BA,1,1,Low
corbelia,PR,3,3,Low
cordeiro,RJ,24,24,Low
cordeiropolis,SP,15,15,Low
cordeiros,BA,1,1,Low
coreau,CE,1,1,Low
coremas,PB,3,3,Low
corguinho,MS,2,1,Low
coribe,BA,8,6,Low
corinto,MG,11,10,Low
cornelio procopio,PR,24,24,Low
coroaci,MG,2,2,Low
coroados,SP,2,2,Low
coroata,MA,9,8,Low
coromandel,MG,25,22,Low
coronel domingos soares,PR,1,1,Low
coronel fabriciano,MG,40,40,Low
coronel freitas,SC,1,1,Low
coronel joao pessoa,RN,1,1,Low
coronel joao sa,BA,3,3,Low
coronel macedo,SP,2,2,Low
coronel martins,SC,2,1,Low
coronel murta,MG,1,1,Low
coronel pacheco,MG,1,1,Low
coronel sapucaia,MS,1,1,Low
coronel vivida,PR,11,11,Low
corrego danta,MG,1,1,Low
corrego do ouro,RJ,1,1,Low
corrego fundo,MG,1,1,Low
correia pinto,SC,11,8,Low
corrente,PI,4,4,Low
correntes,PE,1,1,Low
correntina,BA,2,2,Low
cortes,PE,2,2,Low
corumba,MS,27,27,Low
corumba de goias,GO,2,2,Low
corumbaiba,GO,4,4,Low
corumbatai,SP,2,2,Low
corumbatai do sul,PR,1,1,Low
corupa,SC,4,4,Low
coruripe,AL,3,3,Low
cosmopolis,SP,50,48,Low
cosmorama,SP,6,6,Low
costa marques,RO,2,2,Low
costa rica,MS,12,11,Low
cotegipe,BA,1,1,Low
cotia,SP,241,235,Low
cotipora,RS,1,1,Low
cotriguacu,MT,2,2,Low
couto de magalhaes,TO,2,2,Low
coxilha,RS,2,2,Low
coxim,MS,11,11,Low
crateus,CE,9,9,Low
crato,CE,18,18,Low
cravinhos,SP,24,23,Low
cravolandia,BA,1,1,Low
criciuma,SC,91,91,Low
crisolita,MG,2,2,Low
crisopolis,BA,3,3,Low
crissiumal,RS,2,2,Low
cristais,MG,3,3,Low
cristais paulista,SP,4,4,Low
cristal,RS,3,3,Low
cristalandia,TO,3,3,Low
cristalia,MG,3,3,Low
cristalina,GO,8,8,Low
cristiano otoni,MG,2,2,Low
cristina,MG,7,7,Low
cristinapolis,SE,1,1,Low
cristopolis,BA,2,2,Low
crixas,GO,8,7,Low
croata,CE,1,1,Low
crominia,GO,1,1,Low
crucilandia,MG,1,1,Low
cruz,CE,7,7,Low
cruz alta,RS,30,29,Low
cruz das almas,BA,18,17,Low
cruz machado,PR,3,3,Low
cruzalia,SP,3,3,Low
cruzeiro,SP,56,54,Low
cruzeiro da fortaleza,MG,2,2,Low
cruzeiro do iguacu,PR,1,1,Low
cruzeiro do oeste,PR,7,7,Low
cruzeiro do sul,AC,3,3,Low
cruzeiro do sul,RS,3,3,Low
cruzilia,MG,4,4,Low
cubatao,SP,79,76,Low
cubati,PB,2,2,Low
cuiaba,MT,243,237,Low
cuite,PB,3,3,Low
cuite velho,MG,1,1,Low
cujubim,RO,1,1,Low
cumari,GO,2,2,Low
cumaru,PE,2,2,Low
cunha,SP,14,14,Low
cunha pora,SC,5,4,Low
cupira,PE,1,1,Low
curaca,BA,3,3,Low
curitiba,PR,1489,1434,Medium
curitibanos,SC,20,20,Low
curiuva,PR,4,4,Low
currais novos,RN,7,7,Low
curral de cima,PB,1,1,Low
curralinho,PA,1,1,Low
curuca,PA,3,2,Low
cururupu,MA,3,3,Low
curvelandia,MT,1,1,Low
curvelo,MG,42,40,Low
custodia,PE,5,5,Low
damianopolis,GO,2,2,Low
dario meira,BA,2,2,Low
datas,MG,1,1,Low
david canabarro,RS,2,2,Low
delfim moreira,MG,1,1,Low
delfinopolis,MG,3,3,Low
delmiro gouveia,AL,4,4,Low
demerval lobao,PI,1,1,Low
denise,MT,2,2,Low
deodapolis,MS,2,2,Low
deputado irapuan pinheiro,CE,2,2,Low
descalvado,SP,13,13,Low
descoberto,MG,3,3,Low
desembargador otoni,MG,1,1,Low
desterro,PB,1,1,Low
desterro de entre rios,MG,1,1,Low
desterro do melo,MG,1,1,Low
dezesseis de novembro,RS,1,1,Low
diadema,SP,276,265,Low
diamante d'oeste,PR,1,1,Low
diamante do norte,PR,5,5,Low
diamantina,MG,27,27,Low
diamantino,MT,7,4,Low
dianopolis,TO,7,7,Low
dias d avila,BA,1,1,Low
dias d'avila,BA,23,22,Low
diogo de vasconcelos,MG,2,2,Low
dionisio,MG,2,2,Low
dionisio cerqueira,SC,3,3,Low
diorama,GO,2,1,Low
divinesia,MG,1,1,Low
divino,MG,13,13,Low
divino das laranjeiras,MG,1,1,Low
divino de sao lourenco,ES,1,1,Low
divinolandia,SP,7,7,Low
divinolandia de minas,MG,5,5,Low
divinopolis,MG,132,131,Low
divinopolis de goias,GO,1,1,Low
divinopolis do tocantins,TO,1,1,Low
divisa alegre,MG,2,2,Low
divisa nova,MG,1,1,Low
dobrada,SP,2,2,Low
doce grande,PR,1,1,Low
dois corregos,SP,11,11,Low
dois irmaos,RS,17,17,Low
dois irmaos do buriti,MS,3,3,Low
dois riachos,AL,1,1,Low
dois vizinhos,PR,27,25,Low
dom aquino,MT,3,3,Low
dom basilio,BA,3,3,Low
dom cavati,MG,1,1,Low
dom eliseu,PA,5,5,Low
dom feliciano,RS,5,5,Low
dom joaquim,MG,1,1,Low
dom macedo costa,BA,1,1,Low
dom pedrito,RS,10,10,Low
dom pedro,MA,3,3,Low
dom silverio,MG,4,4,Low
dom vicoso,MG,2,2,Low
domiciano ribeiro,GO,2,2,Low
domingos martins,ES,9,8,Low
dona emma,SC,1,1,Low
dona euzebia,MG,2,2,Low
dona francisca,RS,2,2,Low
dores de campos,MG,8,8,Low
dores do indaia,MG,7,6,Low
dores do rio preto,ES,4,4,Low
dormentes,PE,2,2,Low
douradina,PR,1,1,Low
dourado,CE,1,1,Low
dourado,SP,8,8,Low
dourados,MS,63,58,Low
doutor camargo,PR,1,1,Low
doutor ulysses,PR,1,1,Low
doverlandia,GO,2,2,Low
dracena,SP,27,27,Low
duartina,SP,10,9,Low
duas barras,RJ,1,1,Low
duere,TO,1,1,Low
dumont,SP,3,3,Low
duque de caxias,RJ,250,247,Low
durande,MG,2,2,Low
echapora,SP,2,2,Low
ecoporanga,ES,8,8,Low
edeia,GO,4,4,Low
eldorado,MS,1,1,Low
eldorado,SP,5,5,Low
eldorado do sul,RS,15,13,Low
elias fausto,SP,5,5,Low
eliseu martins,PI,3,3,Low
elisiario,SP,1,1,Low
elisio medrado,BA,2,2,Low
eloi mendes,MG,10,10,Low
embauba,SP,1,1,Low
embu,SP,11,10,Low
embu das artes,SP,157,154,Low
embu-guacu,SP,46,45,Low
emilianopolis,SP,2,1,Low
encantado,RS,11,11,Low
encruzilhada do sul,RS,8,8,Low
eneas marques,PR,4,4,Low
engenheiro balduino,SP,1,1,Low
engenheiro coelho,SP,12,12,Low
engenheiro navarro,MG,1,1,Low
engenheiro passos,RJ,2,2,Low
engenheiro paulo de frontin,RJ,6,6,Low
entre folhas,MG,1,1,Low
entre rios,BA,6,6,Low
entre rios de minas,MG,7,6,Low
entre rios do oeste,PR,3,3,Low
entre-ijuis,RS,3,3,Low
epitaciolandia,AC,1,1,Low
erebango,RS,1,1,Low
erechim,RS,56,52,Low
erere,CE,1,1,Low
erico cardoso,BA,1,1,Low
erval grande,RS,2,1,Low
ervalia,MG,7,7,Low
escada,PE,10,10,Low
esmeralda,RS,1,1,Low
esmeraldas,MG,14,14,Low
espera feliz,MG,19,18,Low
esperanca,PB,6,6,Low
esperantina,PI,4,4,Low
esperantina,TO,1,1,Low
esperantinopolis,MA,3,3,Low
espigao,SP,2,2,Low
espigao alto do iguacu,PR,2,2,Low
espigao do oeste,RO,6,6,Low
espinosa,MG,6,6,Low
espirito santo do pinhal,SP,18,18,Low
espirito santo do turvo,SP,2,2,Low
esplanada,BA,5,5,Low
espumoso,RS,7,7,Low
estacao,RS,5,5,Low
estancia,SE,9,9,Low
estancia velha,RS,20,19,Low
esteio,RS,39,39,Low
estevao de araujo,MG,1,1,Low
estiva,MG,1,1,Low
estiva gerbi,SP,7,5,Low
estreito,MA,3,3,Low
estrela,RS,15,15,Low
estrela d oeste,SP,1,1,Low
estrela d'oeste,SP,1,1,Low
estrela do indaia,MG,2,2,Low
estrela do norte,SP,3,3,Low
estrela do sul,MG,1,1,Low
estrela velha,RS,1,1,Low
euclides da cunha,BA,5,5,Low
euclides da cunha paulista,SP,2,1,Low
eugenio de castro,RS,1,1,Low
eugenopolis,MG,5,5,Low
eunapolis,BA,36,35,Low
eusebio,CE,13,13,Low
ewbank da camara,MG,1,1,Low
extrema,MG,39,36,Low
extrema,RO,3,2,Low
extremoz,RN,2,2,Low
fagundes,PB,1,1,Low
farol,PR,1,1,Low
farroupilha,RS,27,27,Low
fartura,SP,10,10,Low
fatima,BA,2,2,Low
fatima,TO,1,1,Low
fatima do sul,MS,4,4,Low
faxinal,PR,9,9,Low
faxinal dos guedes,SC,11,11,Low
faxinalzinho,RS,1,1,Low
fazenda nova,GO,4,4,Low
fazenda rio grande,PR,29,28,Low
fazenda vilanova,RS,2,2,Low
feira de santana,BA,181,173,Low
feira nova,PE,5,4,Low
felicio dos santos,MG,1,1,Low
felipe guerra,RN,1,1,Low
felisburgo,MG,1,1,Low
felixlandia,MG,1,1,Low
feliz,RS,14,14,Low
feliz deserto,AL,2,2,Low
feliz natal,MT,1,1,Low
fenix,PR,1,1,Low
fernando prestes,SP,6,6,Low
fernandopolis,SP,52,52,Low
fernao,SP,1,1,Low
ferraz de vasconcelos,SP,109,105,Low
ferreiros,PE,1,1,Low
ferros,MG,2,2,Low
fervedouro,MG,8,8,Low
figueira,PR,4,4,Low
figueiropolis d'oeste,MT,2,2,Low
filadelfia,BA,1,1,Low
firminopolis,GO,7,5,Low
flor da serra do sul,PR,2,2,Low
flora rica,SP,1,1,Low
florai,PR,2,2,Low
florania,RN,1,1,Low
floreal,SP,2,2,Low
flores,CE,1,1,Low
flores,PE,1,1,Low
flores da cunha,RS,12,12,Low
flores de goias,GO,1,1,Low
floresta,PE,6,5,Low
floresta,PR,5,5,Low
floresta do araguaia,PA,1,1,Low
florestal,MG,3,3,Low
florestopolis,PR,3,3,Low
floriano,PI,18,17,Low
florianopolis,SC,556,535,Low
florida,PR,1,1,Low
florida paulista,SP,4,4,Low
florinia,SP,1,1,Low
fonseca,MG,1,1,Low
fontoura xavier,RS,1,1,Low
formiga,MG,32,32,Low
formigueiro,RS,2,2,Low
formosa,GO,34,34,Low
formosa da serra negra,MA,1,1,Low
formosa do oeste,PR,1,1,Low
formosa do rio preto,BA,3,3,Low
formoso,GO,1,1,Low
formoso,MG,2,2,Low
formoso do araguaia,TO,4,3,Low
forquilha,CE,4,4,Low
forquilhinha,SC,13,12,Low
fortaleza,CE,618,609,Low
fortaleza dos valos,RS,1,1,Low
fortim,CE,1,1,Low
fortuna,MA,3,3,Low
foz do iguacu,PR,86,84,Low
foz do jordao,PR,1,1,Low
fragosos,SC,1,1,Low
fraiburgo,SC,13,13,Low
franca,SP,154,153,Low
francisco badaro,MG,3,3,Low
francisco beltrao,PR,50,49,Low
francisco dantas,RN,1,1,Low
francisco dumont,MG,2,2,Low
francisco morato,SP,94,89,Low
francisco sa,MG,3,3,Low
francisco santos,PI,1,1,Low
franco da rocha,SP,108,103,Low
frecheirinha,CE,2,2,Low
frederico westphalen,RS,14,14,Low
frei gaspar,MG,1,1,Low
frei inocencio,MG,5,5,Low
frei lagonegro,MG,1,1,Low
frei martinho,PB,2,2,Low
frei rogerio,SC,1,1,Low
fronteira,MG,6,6,Low
fronteiras,PI,3,3,Low
fruta de leite,MG,2,2,Low
frutal,MG,24,24,Low
frutuoso gomes,RN,1,1,Low
fundao,ES,4,4,Low
gabriel monteiro,SP,1,1,Low
galia,SP,1,1,Low
galinhos,RN,1,1,Low
galvao,SC,1,1,Low
gameleira,PE,4,4,Low
gameleiras,MG,3,3,Low
gandu,BA,4,4,Low
garanhuns,PE,30,24,Low
garca,SP,27,27,Low
garibaldi,RS,9,9,Low
garopaba,SC,22,20,Low
garrafao do norte,PA,3,3,Low
garruchos,RS,1,1,Low
garuva,SC,5,5,Low
gaspar,SC,29,28,Low
gastao vidigal,SP,3,3,Low
gaucha do norte,MT,2,2,Low
gaurama,RS,3,3,Low
gaviao peixoto,SP,2,2,Low
general camara,RS,1,1,Low
general carneiro,PR,5,5,Low
general maynard,SE,1,1,Low
general salgado,SP,6,6,Low
gentio do ouro,BA,1,1,Low
getulina,SP,2,2,Low
getulio vargas,RS,8,8,Low
gilbues,PI,1,1,Low
girau do ponciano,AL,1,1,Low
girua,RS,10,9,Low
glaura,MG,1,1,Low
glicerio,RJ,2,2,Low
glicerio,SP,2,2,Low
gloria de dourados,MS,1,1,Low
gloria do goita,PE,2,2,Low
glorinha,RS,2,2,Low
godoy moreira,PR,1,1,Low
goiabeira,MG,2,2,Low
goiana,MG,3,2,Low
goiana,PE,9,9,Low
goianapolis,GO,4,4,Low
goiandira,GO,1,1,Low
goianesia,GO,17,17,Low
goianesia do para,PA,3,3,Low
goiania,GO,660,641,Low
goianinha,RN,3,3,Low
goianira,GO,8,8,Low
goianorte,TO,2,2,Low
goias,GO,8,8,Low
goiatuba,GO,10,10,Low
goioere,PR,11,11,Low
goitacazes,RJ,11,11,Low
goncalves,MG,3,3,Low
goncalves dias,MA,1,1,Low
gongogi,BA,1,1,Low
gouveia,MG,4,4,Low
governador celso ramos,SC,3,3,Low
governador dix-sept rosado,RN,1,1,Low
governador eugenio barros,MA,1,1,Low
governador lindenberg,ES,2,2,Low
governador mangabeira,BA,1,1,Low
governador portela,RJ,4,4,Low
governador valadares,MG,134,133,Low
graccho cardoso,SE,1,1,Low
grajau,MA,5,4,Low
gramado,RS,29,29,Low
gramado dos loureiros,RS,1,1,Low
gramado xavier,RS,1,1,Low
grandes rios,PR,2,2,Low
granja,CE,5,5,Low
grao mogol,MG,3,3,Low
grao para,SC,3,3,Low
gravata,PE,10,10,Low
gravatai,RS,111,107,Low
gravatal,SC,6,6,Low
groairas,CE,1,1,Low
grupiara,MG,1,1,Low
guabiju,RS,1,1,Low
guabiruba,SC,5,5,Low
guacui,ES,16,15,Low
guadalupe,PI,4,4,Low
guaiba,RS,31,29,Low
guaicara,SP,8,8,Low
guaira,PR,7,7,Low
guaira,SP,36,34,Low
guairaca,PR,1,1,Low
guaiuba,CE,2,1,Low
guajara-mirim,RO,3,3,Low
guamare,RN,2,2,Low
guamiranga,PR,1,1,Low
guanambi,BA,36,36,Low
guanhaes,MG,18,18,Low
guape,MG,1,1,Low
guapiacu,SP,6,6,Low
guapiara,SP,3,3,Low
guapimirim,RJ,21,21,Low
guapirama,PR,1,1,Low
guapo,GO,6,6,Low
guapore,RS,18,18,Low
guara,DF,2,1,Low
guara,SP,7,7,Low
guarabira,PB,10,10,Low
guaracai,SP,5,4,Low
guaraci,PR,2,2,Low
guaraci,SP,2,2,Low
guaraciaba,MG,2,2,Low
guaraciaba,SC,1,1,Low
guaraciaba do norte,CE,4,4,Low
guarai,TO,4,4,Low
guaramirim,SC,13,13,Low
guaranesia,MG,9,9,Low
guarani,MG,7,6,Low
guarani das missoes,RS,2,2,Low
guaraniacu,PR,5,5,Low
guaranta,SP,5,5,Low
guaranta do norte,MT,5,5,Low
guarapari,ES,66,63,Low
guarapua,SP,1,1,Low
guarapuava,PR,62,61,Low
guaraquecaba,PR,1,1,Low
guarara,MG,2,2,Low
guararapes,SP,18,17,Low
guararema,SP,11,11,Low
guaratinga,BA,2,2,Low
guaratingueta,SP,96,95,Low
guaratuba,PR,9,9,Low
guarda-mor,MG,2,2,Low
guarei,SP,5,5,Low
guariba,SP,14,14,Low
guariroba,SP,2,2,Low
guaruja,SP,217,207,Low
guaruja do sul,SC,4,4,Low
guarulhos,SP,1143,1110,Medium
guassusse,CE,1,1,Low
guatapara,SP,1,1,Low
guaxupe,MG,37,31,Low
guia lopes da laguna,MS,1,1,Low
guidoval,MG,2,2,Low
guimaraes,MA,1,1,Low
guimarania,MG,4,4,Low
guinda,MG,1,1,Low
guiricema,MG,1,1,Low
gurupi,TO,24,23,Low
guzolandia,SP,1,1,Low
heliopolis,BA,1,1,Low
herculandia,SP,3,3,Low
herval,RS,1,1,Low
herval d'oeste,SC,9,9,Low
herveiras,RS,1,1,Low
hidreletrica tucurui,PA,3,3,Low
hidrolandia,CE,7,6,Low
hidrolandia,GO,1,1,Low
hidrolina,GO,2,2,Low
holambra,SP,23,23,Low
holambra ii,SP,5,5,Low
horizonte,CE,5,5,Low
horizontina,RS,7,7,Low
hortolandia,SP,142,140,Low
hulha negra,RS,1,1,Low
humaita,AM,4,4,Low
humberto de campos,MA,1,1,Low
humildes,BA,1,1,Low
iacanga,SP,6,6,Low
iaciara,GO,3,3,Low
iacri,SP,2,2,Low
iacu,BA,4,4,Low
iapu,MG,4,4,Low
iaras,SP,1,1,Low
iati,PE,3,3,Low
ibaiti,PR,11,9,Low
ibarama,RS,1,1,Low
ibate,SP,12,11,Low
ibateguara,AL,2,2,Low
ibatiba,ES,9,8,Low
ibema,PR,1,1,Low
ibertioga,MG,1,1,Low
ibia,MG,8,8,Low
ibiaca,RS,2,2,Low
ibiai,MG,3,3,Low
ibiajara,BA,1,1,Low
ibiam,SC,4,4,Low
ibiapina,CE,3,3,Low
ibiara,PB,1,1,Low
ibiassuce,BA,2,2,Low
ibicarai,BA,5,5,Low
ibicare,SC,2,2,Low
ibicoara,BA,3,3,Low
ibicuitinga,CE,1,1,Low
ibimirim,PE,3,3,Low
ibipeba,BA,1,1,Low
ibipitanga,BA,2,2,Low
ibipora,PR,12,12,Low
ibira,SP,6,6,Low
ibiracatu,MG,1,1,Low
ibiraci,MG,3,3,Low
ibiracu,ES,1,1,Low
ibiraiaras,RS,2,2,Low
ibiraja,BA,2,1,Low
ibirama,SC,13,13,Low
ibirapua,BA,1,1,Low
ibirarema,SP,5,5,Low
ibirataia,BA,2,2,Low
ibirite,MG,47,45,Low
ibiruba,RS,20,19,Low
ibitiara,BA,1,1,Low
ibitinga,SP,22,22,Low
ibitioca,RJ,1,1,Low
ibitira,BA,1,1,Low
ibitita,BA,1,1,Low
ibitiuva,SP,1,1,Low
ibiuna,SP,31,29,Low
ibotirama,BA,7,7,Low
icapui,CE,5,5,Low
icara,SC,21,21,Low
icarai de minas,MG,2,2,Low
icaraima,PR,1,1,Low
icatu,MA,1,1,Low
icem,SP,9,8,Low
ichu,BA,2,2,Low
ico,CE,8,8,Low
iconha,ES,5,5,Low
ielmo marinho,RN,2,2,Low
iepe,SP,5,5,Low
igaci,AL,2,2,Low
igapora,BA,1,1,Low
igaracu do tiete,SP,4,4,Low
igarapava,SP,7,7,Low
igarape,MG,9,9,Low
igarape-acu,PA,1,1,Low
igarape-miri,PA,1,1,Low
igarassu,PE,11,11,Low
igarata,SP,5,5,Low
igaratinga,MG,1,1,Low
igrapiuna,BA,1,1,Low
igreja nova,AL,2,2,Low
igrejinha,RS,17,17,Low
iguaba grande,RJ,19,18,Low
iguai,BA,2,2,Low
iguape,SP,14,14,Low
iguaracu,PR,2,1,Low
iguatama,MG,3,3,Low
iguatu,CE,14,14,Low
iguatu,PR,1,1,Low
ijui,RS,52,50,Low
ilha comprida,SP,3,3,Low
ilha de itamaraca,PE,4,4,Low
ilha dos valadares,PR,1,1,Low
ilha grande,PI,1,1,Low
ilha solteira,SP,24,24,Low
ilhabela,SP,44,43,Low
ilheus,BA,69,69,Low
ilhota,SC,4,4,Low
ilicinea,MG,1,1,Low
ilopolis,RS,3,3,Low
imaculada,PB,3,3,Low
imbau,PR,2,2,Low
imbe,RS,13,13,Low
imbe de minas,MG,2,2,Low
imbituba,SC,31,31,Low
imbituva,PR,8,7,Low
imbuia,SC,4,4,Low
imigrante,RS,3,3,Low
imperatriz,MA,40,39,Low
inacio martins,PR,5,5,Low
inaciolandia,GO,3,3,Low
inaja,PE,2,2,Low
inaja,PR,2,2,Low
inconfidentes,MG,2,2,Low
indaial,SC,26,26,Low
indaiatuba,SP,273,262,Low
independencia,CE,1,1,Low
indiana,SP,3,3,Low
indianopolis,MG,1,1,Low
indianopolis,PR,4,4,Low
indiapora,SP,3,3,Low
indiara,GO,4,3,Low
indiaroba,SE,1,1,Low
inga,PB,1,1,Low
ingai,MG,1,1,Low
inhambupe,BA,7,7,Low
inhapi,AL,2,2,Low
inhapim,MG,7,7,Low
inhauma,MG,2,2,Low
inhuma,PI,1,1,Low
inhumas,GO,16,15,Low
inimutaba,MG,2,2,Low
inocencia,MS,1,1,Low
inubia paulista,SP,3,3,Low
iomere,SC,1,1,Low
ipaba,MG,8,8,Low
ipameri,GO,12,12,Low
ipanema,MG,7,7,Low
ipaporanga,CE,2,2,Low
ipatinga,MG,169,166,Low
ipaumirim,CE,1,1,Low
ipaussu,SP,7,7,Low
ipe,RS,2,2,Low
ipecaeta,BA,1,1,Low
ipero,SP,18,16,Low
ipiabas,RJ,4,3,Low
ipiacu,MG,3,3,Low
ipiau,BA,7,7,Low
ipigua,SP,2,2,Low
ipira,BA,6,6,Low
ipira,SC,2,2,Low
